ProductKey,Supplier,HierarchyLevel1,HierarchyLevel2,DIorDOM,Seasonal
30437,13194,80445,28611,DOM,False
46645,13194,80445,28611,DOM,False
8573,13194,80445,28611,DOM,False
8568,13194,80445,28611,DOM,False
12675,13194,80445,28611,DOM,False
2064,13194,80445,28611,DOM,False
6068,13194,80445,28611,DOM,False
19774,13194,80445,28611,DOM,False
57509,13194,80445,28611,DOM,False
74146,13194,80445,28611,DOM,False
51165,13194,80445,28611,DOM,False
71994,13194,80445,28611,DOM,False
53398,13194,80445,28611,DOM,False
1693,13194,80445,28611,DOM,False
14663,13194,80445,28611,DOM,False
19942,13194,80445,28611,DOM,False
52825,13194,80445,28611,DOM,False
13224,13194,80445,28611,DOM,False
79104,13194,80445,28611,DOM,False
30733,13194,80445,28611,DOM,False
60296,13194,80445,28611,DOM,False
43996,13194,80445,28611,DOM,False
73933,13194,80445,28611,DOM,False
57650,13194,80445,28611,DOM,False
50675,13194,80445,28611,DOM,False
13467,13194,80445,28611,DOM,False
55240,13194,80445,28611,DOM,False
53254,13194,80445,28611,DOM,False
63296,13194,80445,28611,DOM,False
66168,13194,80445,28611,DOM,False
79729,13194,80445,28611,DOM,False
10725,13194,80445,28611,DOM,False
52905,13194,80445,28611,DOM,False
45372,13194,80445,47024,DOM,False
67195,13194,80445,28611,DOM,False
30314,13194,80445,28611,DOM,False
75765,13194,80445,28611,DOM,False
32578,13194,80445,47024,DOM,False
39298,13194,80445,28611,DOM,False
79979,13194,80445,28611,DOM,False
41725,13194,80445,28611,DOM,False
12919,13194,80445,28611,DOM,False
36516,13194,80445,28611,DOM,False
64830,13194,80445,28611,DOM,False
60019,13194,80445,28611,DOM,False
11907,13194,80445,28611,DOM,False
11033,13194,80445,28611,DOM,False
16049,13194,80445,28611,DOM,False
66800,13194,80445,28611,DOM,False
25157,13194,80445,28611,DOM,False
46303,13194,80445,28611,DOM,False
1144,13194,80445,28611,DOM,False
46945,13194,80445,28611,DOM,False
